L,sigma,W(0),W(pi),Delta=W(pi)-W(0),preferred
0.7,0.7,-0.57238374,-3.3949824,-2.8225986,AB-like
0.7,0.7125,0.36276839,-3.6072582,-3.9700266,AB-like
0.7,0.725,1.6135469,-3.8003203,-5.4138671,AB-like
0.7,0.7375,3.2502772,-3.9647787,-7.2150559,AB-like
0.7,0.75,5.3558113,-4.0892659,-9.4450773,AB-like
0.7,0.7625,8.0274,-4.1601264,-12.187526,AB-like
0.7,0.775,11.378802,-4.1610661,-15.539868,AB-like
0.7,0.7875,15.542653,-4.0727584,-19.615411,AB-like
0.7,0.8,20.673131,-3.8724014,-24.545532,AB-like
0.7,0.8125,26.94893,-3.5332214,-30.482152,AB-like
0.7,0.825,34.576596,-3.0239173,-37.600513,AB-like
0.7,0.8375,43.794239,-2.3080409,-46.10228,AB-like
0.7,0.85,54.875676,-1.3433046,-56.21898,AB-like
0.7,0.8625,68.135036,-0.080812628,-68.215849,AB-like
0.7,0.875,83.931872,1.535794,-82.396078,AB-like
0.7,0.8875,102.67683,3.5712861,-99.105542,AB-like
0.7,0.9,124.83791,6.0998958,-118.73802,AB-like
0.7,0.9125,150.94744,9.2064782,-141.74096,AB-like
0.7,0.925,181.60968,12.987793,-168.62189,AB-like
0.7,0.9375,217.50928,17.55392,-199.95536,AB-like
0.7,0.95,259.42059,23.029812,-236.39078,AB-like
0.7,0.9625,308.21784,29.55701,-278.66083,AB-like
0.7,0.975,364.88633,37.295522,-327.59081,AB-like
0.7,0.9875,430.53479,46.425884,-384.10891,AB-like
0.7,1,506.40877,57.151417,-449.25735,AB-like
0.7,1.0125,593.9054,69.700703,-524.2047,AB-like
0.7,1.025,694.58949,84.330281,-610.2592,AB-like
0.7,1.0375,810.21104,101.3276,-708.88345,AB-like
0.7,1.05,942.72448,121.01422,-821.71026,AB-like
0.7,1.0625,1094.3094,143.74934,-950.56008,AB-like
0.7,1.075,1267.3934,169.93359,-1097.4598,AB-like
0.7,1.0875,1464.6767,200.01317,-1264.6635,AB-like
0.7,1.1,1689.1586,234.48437,-1454.6742,AB-like
0.7,1.1125,1944.1673,273.89841,-1670.2688,AB-like
0.7,1.125,2233.3904,318.8668,-1914.5236,AB-like
0.7,1.1375,2560.91,370.06699,-2190.843,AB-like
0.7,1.15,2931.2387,428.24861,-2502.9901,AB-like
0.7,1.1625,3349.3601,494.24019,-2855.1199,AB-like
0.7,1.175,3820.7715,568.95635,-3251.8152,AB-like
0.7,1.1875,4351.5306,653.40562,-3698.125,AB-like
0.7,1.2,4948.3053,748.6989,-4199.6064,AB-like
0.7225,0.7,-1.6832081,-3.1402259,-1.4570178,AB-like
0.7225,0.7125,-1.187688,-3.3616622,-2.1739742,AB-like
0.7225,0.725,-0.48935389,-3.5733986,-3.0840447,AB-like
0.7225,0.7375,0.45898353,-3.7685262,-4.2275098,AB-like
0.7225,0.75,1.7130387,-3.938622,-5.6516607,AB-like
0.7225,0.7625,3.3383307,-4.0735085,-7.4118392,AB-like
0.7225,0.775,5.4116257,-4.160983,-9.5726087,AB-like
0.7225,0.7875,8.0225582,-4.1865122,-12.20907,AB-like
0.7225,0.8,11.27545,-4.13289,-15.40834,AB-like
0.7225,0.8125,15.29135,-3.9798525,-19.271203,AB-like
0.7225,0.825,20.210309,-3.7036485,-23.913958,AB-like
0.7225,0.8375,26.193927,-3.2765585,-29.470485,AB-like
0.7225,0.85,33.42818,-2.6663597,-36.09454,AB-like
0.7225,0.8625,42.126576,-1.8357295,-43.962305,AB-like
0.7225,0.875,52.533649,-0.74158346,-53.275232,AB-like
0.7225,0.8875,64.928839,0.66565984,-64.263179,AB-like
0.7225,0.9,79.630786,2.4428922,-77.187894,AB-like
0.7225,0.9125,97.002073,4.6552158,-92.346857,AB-like
0.7225,0.925,117.45447,7.3769371,-110.07753,AB-like
0.7225,0.9375,141.45469,10.692662,-130.76203,AB-like
0.7225,0.95,169.53077,14.698504,-154.83227,AB-like
0.7225,0.9625,202.27905,19.503409,-182.77564,AB-like
0.7225,0.975,240.37183,25.230613,-215.14122,AB-like
0.7225,0.9875,284.56579,32.019243,-252.54654,AB-like
0.7225,1,335.7112,40.026063,-295.68514,AB-like
0.7225,1.0125,394.76203,49.427396,-345.33463,AB-like
0.7225,1.025,462.7869,60.421213,-402.36569,AB-like
0.7225,1.0375,540.98118,73.229422,-467.75175,AB-like
0.7225,1.05,630.68001,88.100359,-542.57965,AB-like
0.7225,1.0625,733.37265,105.31151,-628.06114,AB-like
0.7225,1.075,850.71797,125.17245,-725.54553,AB-like
0.7225,1.0875,984.56136,148.02807,-836.53329,AB-like
0.7225,1.1,1136.953,174.26208,-962.69096,AB-like
0.7225,1.1125,1310.1679,204.30074,-1105.8672,AB-like
0.7225,1.125,1506.7273,238.61704,-1268.1103,AB-like
0.7225,1.1375,1729.4219,277.73507,-1451.6869,AB-like
0.7225,1.15,1981.3376,322.23487,-1659.1027,AB-like
0.7225,1.1625,2265.8821,372.75762,-1893.1245,AB-like
0.7225,1.175,2586.815,430.01125,-2156.8038,AB-like
0.7225,1.1875,2948.2793,494.77647,-2453.5028,AB-like
0.7225,1.2,3354.8355,567.91334,-2786.9222,AB-like
0.745,0.7,-2.224542,-2.8864797,-0.66193773,AB-like
0.745,0.7125,-1.9998838,-3.108451,-1.1085672,AB-like
0.745,0.725,-1.6456041,-3.3274352,-1.6818312,AB-like
0.745,0.7375,-1.1297968,-3.5383865,-2.4085897,AB-like
0.745,0.75,-0.41469204,-3.7350986,-3.3204065,AB-like
0.745,0.7625,0.54422922,-3.9100183,-4.4542476,AB-like
0.745,0.775,1.7992325,-4.0540361,-5.8532686,AB-like
0.745,0.7875,3.4114514,-4.1562487,-7.5677001,AB-like
0.745,0.8,5.4521468,-4.2036934,-9.6558401,AB-like
0.745,0.8125,8.0041167,-4.1810497,-12.185166,AB-like
0.745,0.825,11.163273,-4.0703057,-15.233579,AB-like
0.745,0.8375,15.040402,-3.8503844,-18.890786,AB-like
0.745,0.85,19.763123,-3.4967283,-23.259851,AB-like
0.745,0.8625,25.47807,-2.9808366,-28.458906,AB-like
0.745,0.875,32.353315,-2.2697497,-34.623064,AB-like
0.745,0.8875,40.581049,-1.3254797,-41.906528,AB-like
0.745,0.9,50.380558,-0.10437683,-50.484935,AB-like
0.745,0.9125,62.001508,1.4435688,-60.557939,AB-like
0.745,0.925,75.727568,3.3755001,-72.352068,AB-like
0.745,0.9375,91.880413,5.7565443,-86.123868,AB-like
