Matched-parameter consistency check
----------------------------------
max|W_A - W_B|        = 1.265654248073e-14
rms(W_A - W_B)        = 8.814614604993e-16
max|W'_A - W'_B|      = 9.769962616701e-15
rms(W'_A - W'_B)      = 9.650449568367e-16
max|W_A(pref=2)-2W_B| = 2.531308496145e-14

AA/AB preference check vs L
---------------------------
L       E_AA(A)         E_AB(A)         pref(A)    E_AA(B)         E_AB(B)         pref(B)
0.80      41.45567259      4.40200812  AB           41.45567259      4.40200812  AB     
0.90       5.43236208     -1.37430444  AB            5.43236208     -1.37430444  AB     
1.00      -0.94884864     -2.25076353  AB           -0.94884864     -2.25076353  AB     
1.10      -1.72184249     -1.95682256  AB           -1.72184249     -1.95682256  AB     
1.20      -1.46238888     -1.49197815  AB           -1.46238888     -1.49197815  AB     
1.27      -1.20326674     -1.20302560  AA           -1.20326674     -1.20302560  AA     
1.35      -0.94031278     -0.93363180  AA           -0.94031278     -0.93363180  AA     
1.40      -0.80300219     -0.79663719  AA           -0.80300219     -0.79663719  AA     
1.50      -0.58681578     -0.58279938  AA           -0.58681578     -0.58279938  AA     

AA/AB preference agreement across sweep: True
