L,sigma,W(0),W(-pi),Delta=W(-pi)-W(0),phi_min,aa_dist,ab_dist,delta_pref,exact_phase_pref,consistent,preferred
0.75,0.55,-1.1972904,-0.88115446,0.31613591,0,0.000e+00,3.142e+00,AA-like,AA-like,yes,AA-like
0.75,0.552917,-1.2294127,-0.90786155,0.32155113,0,0.000e+00,3.142e+00,AA-like,AA-like,yes,AA-like
0.75,0.555833,-1.2619722,-0.93517167,0.32680052,0,0.000e+00,3.142e+00,AA-like,AA-like,yes,AA-like
0.75,0.55875,-1.2949532,-0.96309106,0.33186214,0,0.000e+00,3.142e+00,AA-like,AA-like,yes,AA-like
0.75,0.561667,-1.3283385,-0.99162574,0.33671274,0,0.000e+00,3.142e+00,AA-like,AA-like,yes,AA-like
0.75,0.564583,-1.3621091,-1.0207814,0.34132765,0,0.000e+00,3.142e+00,AA-like,AA-like,yes,AA-like
0.75,0.5675,-1.3962444,-1.0505636,0.34568074,0,0.000e+00,3.142e+00,AA-like,AA-like,yes,AA-like
0.75,0.570417,-1.4307218,-1.0809774,0.34974437,0,0.000e+00,3.142e+00,AA-like,AA-like,yes,AA-like
0.75,0.573333,-1.4655169,-1.1120276,0.35348931,0,0.000e+00,3.142e+00,AA-like,AA-like,yes,AA-like
0.75,0.57625,-1.5006032,-1.1437186,0.35688465,0,0.000e+00,3.142e+00,AA-like,AA-like,yes,AA-like
0.75,0.579167,-1.5359522,-1.1760544,0.35989774,0,0.000e+00,3.142e+00,AA-like,AA-like,yes,AA-like
0.75,0.582083,-1.571533,-1.2090389,0.36249412,0,0.000e+00,3.142e+00,AA-like,AA-like,yes,AA-like
0.75,0.585,-1.6073125,-1.242675,0.36463745,0,0.000e+00,3.142e+00,AA-like,AA-like,yes,AA-like
0.75,0.587917,-1.6432551,-1.2769657,0.36628938,0,0.000e+00,3.142e+00,AA-like,AA-like,yes,AA-like
0.75,0.590833,-1.6793227,-1.3119131,0.36740953,0,0.000e+00,3.142e+00,AA-like,AA-like,yes,AA-like
0.75,0.59375,-1.7154744,-1.3475191,0.36795536,0,0.000e+00,3.142e+00,AA-like,AA-like,yes,AA-like
0.75,0.596667,-1.7516668,-1.3837848,0.36788208,0,0.000e+00,3.142e+00,AA-like,AA-like,yes,AA-like
0.75,0.599583,-1.7878533,-1.4207108,0.36714257,0,0.000e+00,3.142e+00,AA-like,AA-like,yes,AA-like
0.75,0.6025,-1.8239844,-1.4582972,0.36568727,0,0.000e+00,3.142e+00,AA-like,AA-like,yes,AA-like
0.75,0.605417,-1.8600074,-1.4965433,0.36346411,0,0.000e+00,3.142e+00,AA-like,AA-like,yes,AA-like
0.75,0.608333,-1.8958661,-1.5354478,0.36041834,0,0.000e+00,3.142e+00,AA-like,AA-like,yes,AA-like
0.75,0.61125,-1.9315012,-1.5750087,0.35649248,0,0.000e+00,3.142e+00,AA-like,AA-like,yes,AA-like
0.75,0.614167,-1.9668494,-1.6152232,0.35162621,0,0.000e+00,3.142e+00,AA-like,AA-like,yes,AA-like
0.75,0.617083,-2.001844,-1.6560878,0.34575619,0,0.000e+00,3.142e+00,AA-like,AA-like,yes,AA-like
0.75,0.62,-2.036414,-1.697598,0.33881601,0,0.000e+00,3.142e+00,AA-like,AA-like,yes,AA-like
0.75,0.622917,-2.0704847,-1.7397486,0.33073604,0,0.000e+00,3.142e+00,AA-like,AA-like,yes,AA-like
0.75,0.625833,-2.1039767,-1.7825334,0.32144327,0,0.000e+00,3.142e+00,AA-like,AA-like,yes,AA-like
0.75,0.62875,-2.1368064,-1.8259452,0.31086123,0,0.000e+00,3.142e+00,AA-like,AA-like,yes,AA-like
0.75,0.631667,-2.1688856,-1.8699758,0.29890983,0,0.000e+00,3.142e+00,AA-like,AA-like,yes,AA-like
0.75,0.634583,-2.2001213,-1.9146161,0.2855052,0,0.000e+00,3.142e+00,AA-like,AA-like,yes,AA-like
0.75,0.6375,-2.2304153,-1.9598557,0.27055957,0,0.000e+00,3.142e+00,AA-like,AA-like,yes,AA-like
0.75,0.640417,-2.2596642,-2.0056831,0.2539811,0,0.000e+00,3.142e+00,AA-like,AA-like,yes,AA-like
0.75,0.643333,-2.2877594,-2.0520857,0.23567375,0,0.000e+00,3.142e+00,AA-like,AA-like,yes,AA-like
0.75,0.64625,-2.3145865,-2.0990494,0.21553707,0,0.000e+00,3.142e+00,AA-like,AA-like,yes,AA-like
0.75,0.649167,-2.3400251,-2.146559,0.19346608,0.042951462,4.295e-02,3.099e+00,AA-like,degenerate,no,degenerate
0.75,0.652083,-2.3639489,-2.1945978,0.16935108,-0.57064085,5.706e-01,2.571e+00,AA-like,degenerate,no,degenerate
0.75,0.655,-2.3862253,-2.2431478,0.14307747,-0.81607778,8.161e-01,2.326e+00,AA-like,degenerate,no,degenerate
0.75,0.657917,-2.4067148,-2.2921893,0.11452555,-1.0062914,1.006e+00,2.135e+00,AA-like,degenerate,no,degenerate
0.75,0.660833,-2.4252714,-2.3417011,0.08357038,-1.1719613,1.172e+00,1.970e+00,AA-like,degenerate,no,degenerate
0.75,0.66375,-2.4417419,-2.3916603,0.050081519,-1.3314953,1.331e+00,1.810e+00,AA-like,degenerate,no,degenerate
0.75,0.666667,-2.4559655,-2.4420426,0.013922874,-1.4726216,1.473e+00,1.669e+00,AA-like,degenerate,no,degenerate
0.75,0.669583,-2.467774,-2.4928216,-0.02504753,-1.6198837,1.620e+00,1.522e+00,AB-like,degenerate,no,degenerate
0.75,0.6725,-2.4769913,-2.543969,-0.066977764,-1.754874,1.755e+00,1.387e+00,AB-like,degenerate,no,degenerate
0.75,0.675417,-2.4834327,-2.5954549,-0.11202221,1.8960003,1.896e+00,1.246e+00,AB-like,degenerate,no,degenerate
0.75,0.678333,-2.4869054,-2.6472472,-0.16034181,-2.0432624,2.043e+00,1.098e+00,AB-like,degenerate,no,degenerate
0.75,0.68125,-2.4872074,-2.6993116,-0.21210425,2.1966605,2.197e+00,9.449e-01,AB-like,degenerate,no,degenerate
0.75,0.684167,-2.4841276,-2.7516119,-0.26748429,-2.3684663,2.368e+00,7.731e-01,AB-like,degenerate,no,degenerate
0.75,0.687083,-2.4774454,-2.8041093,-0.32666391,-2.5709518,2.571e+00,5.706e-01,AB-like,degenerate,no,degenerate
0.75,0.69,-2.4669304,-2.856763,-0.38983267,-2.877748,2.878e+00,2.638e-01,AB-like,degenerate,no,degenerate
0.75,0.692917,-2.4523417,-2.9095296,-0.45718788,-3.1415927,3.142e+00,0.000e+00,AB-like,AB-like,yes,AB-like
0.75,0.695833,-2.4334281,-2.9623631,-0.52893497,-3.1415927,3.142e+00,0.000e+00,AB-like,AB-like,yes,AB-like
0.75,0.69875,-2.4099272,-3.0152149,-0.60528769,-3.1415927,3.142e+00,0.000e+00,AB-like,AB-like,yes,AB-like
0.75,0.701667,-2.3815654,-3.0680339,-0.68646845,-3.1415927,3.142e+00,0.000e+00,AB-like,AB-like,yes,AB-like
0.75,0.704583,-2.3480572,-3.1207657,-0.77270858,-3.1415927,3.142e+00,0.000e+00,AB-like,AB-like,yes,AB-like
0.75,0.7075,-2.3091048,-3.1733535,-0.86424871,-3.1415927,3.142e+00,0.000e+00,AB-like,AB-like,yes,AB-like
0.75,0.710417,-2.264398,-3.225737,-0.96133899,-3.1415927,3.142e+00,0.000e+00,AB-like,AB-like,yes,AB-like
0.75,0.713333,-2.2136134,-3.2778529,-1.0642395,-3.1415927,3.142e+00,0.000e+00,AB-like,AB-like,yes,AB-like
0.75,0.71625,-2.1564142,-3.3296347,-1.1732205,-3.1415927,3.142e+00,0.000e+00,AB-like,AB-like,yes,AB-like
0.75,0.719167,-2.0924494,-3.3810124,-1.288563,-3.1415927,3.142e+00,0.000e+00,AB-like,AB-like,yes,AB-like
0.75,0.722083,-2.0213537,-3.4319124,-1.4105587,-3.1415927,3.142e+00,0.000e+00,AB-like,AB-like,yes,AB-like
0.75,0.725,-1.9427469,-3.4822576,-1.5395107,-3.1415927,3.142e+00,0.000e+00,AB-like,AB-like,yes,AB-like
0.75,0.727917,-1.8562331,-3.531967,-1.6757339,-3.1415927,3.142e+00,0.000e+00,AB-like,AB-like,yes,AB-like
0.75,0.730833,-1.7614006,-3.5809558,-1.8195552,-3.1415927,3.142e+00,0.000e+00,AB-like,AB-like,yes,AB-like
0.75,0.73375,-1.6578211,-3.6291349,-1.9713138,-3.1415927,3.142e+00,0.000e+00,AB-like,AB-like,yes,AB-like
0.75,0.736667,-1.5450493,-3.6764113,-2.1313621,-3.1415927,3.142e+00,0.000e+00,AB-like,AB-like,yes,AB-like
0.75,0.739583,-1.422622,-3.7226874,-2.3000654,-3.1415927,3.142e+00,0.000e+00,AB-like,AB-like,yes,AB-like
0.75,0.7425,-1.290058,-3.7678612,-2.4778032,-3.1415927,3.142e+00,0.000e+00,AB-like,AB-like,yes,AB-like
