interaction_scale,rho_continuum,N,start,accepted,comparison_valid,rho_atomistic,elastic_dominance_gap,elastic_dominance_established,reference_resolved,h2_error_over_h,max_error_over_h,phase_matched_h2_error_over_h,phase_matched_max_error_over_h
1.0,0.2305404101281218,20,sampled_continuum,True,True,0.34400481368638536,0.6559951863136146,True,True,0.06645497207229671,0.01559028002119332,0.06645366113464309,0.015477735440589217
1.0,0.2305404101281218,20,random_fourier_seed_3,True,True,0.3521981192045991,0.6478018807954009,True,True,0.5190558172667574,0.17449191316830273,0.06651404014904273,0.015464784802972899
1.0,0.2305404101281218,40,sampled_continuum,True,True,0.34206275541792963,0.6579372445820704,True,True,0.06577507943796587,0.015268607048546361,0.06577498539296178,0.015238693409153917
1.0,0.2305404101281218,40,random_fourier_seed_3,True,True,0.3481447821410582,0.6518552178589418,True,True,0.8023425446442005,0.26717447621374996,0.06581291075854347,0.015305661032335405
1.0,0.2305404101281218,80,sampled_continuum,True,True,0.3415823783326878,0.6584176216673122,True,True,0.06560055303033918,0.015182619900960433,0.06560054676747633,0.015174967600098118
1.0,0.2305404101281218,80,random_fourier_seed_3,True,True,0.3423430133475765,0.6576569866524236,True,True,0.21618394790601397,0.07430670437456302,0.06560118686158109,0.015184532045149383
1.0,0.2305404101281218,160,sampled_continuum,True,True,0.3414809325093311,0.6585190674906689,True,True,0.06555640769995476,0.015175514227722585,0.06555640729505438,0.015173559085069307
1.0,0.2305404101281218,160,random_fourier_seed_3,True,True,0.34223077830152315,0.6577692216984768,True,True,0.39897354636764715,0.13356298796588897,0.06555699519264636,0.015185088687130269
1.0,0.2305404101281218,320,sampled_continuum,True,True,0.3414838272359554,0.6585161727640446,True,True,0.06554578997818637,0.015193013380142563,0.06554578995225467,0.015192520856657264
1.0,0.2305404101281218,320,random_fourier_seed_3,True,True,0.34218489007716757,0.6578151099228324,True,True,0.771693594243562,0.2560934581294777,0.06554635273745586,0.015201626065979534
1.0,0.2305404101281218,640,sampled_continuum,True,True,0.341472444502473,0.658527555497527,True,True,0.0655458336084343,0.015227870588743942,0.06554583360681948,0.015227746377216037
1.0,0.2305404101281218,640,random_fourier_seed_3,True,True,0.34160941128417655,0.6583905887158235,True,True,0.30786434338853524,0.10372849526505862,0.06554584984975674,0.015229457378132834
